transaction_id,account_id,transaction_type_cd,transaction_date,transaction_ts,amount,running_balance,merchant_name,merchant_category,channel_code,reference_num,status_code,created_ts
19,1,ACH,2025-10-06,2025-10-06 15:43:42,-10970.04,-1104.78,Bennett-Brooks,EDUCATION,WEB,REF00000018,P,2026-06-29 19:55:26.116757
65,1,PMT,2025-10-13,2025-10-13 03:27:29,162.77,-942.01,,,WEB,REF00000064,P,2026-06-29 19:55:26.116757
3,1,PMT,2025-10-23,2025-10-23 10:03:08,363.06,-578.95,,,MOB,REF00000002,P,2026-06-29 19:55:26.116757
46,1,PMT,2025-10-23,2025-10-23 13:28:31,165.23,-413.72,,,ATM,REF00000045,P,2026-06-29 19:55:26.116757
57,1,WDR,2025-10-24,2025-10-24 07:50:20,-36.91,-450.63,Mcdonald and Sons,HEALTHCARE,MOB,REF00000056,P,2026-06-29 19:55:26.116757
1,1,PMT,2025-10-24,2025-10-24 14:25:19,167.24,-283.39,,,WEB,REF00000000,P,2026-06-29 19:55:26.116757
26,1,DEP,2025-10-27,2025-10-27 03:01:26,76.47,-206.92,,,POS,REF00000025,P,2026-06-29 19:55:26.116757
24,1,ACH,2025-10-27,2025-10-27 10:16:16,-66.47,-273.39,Macias Group,EDUCATION,POS,REF00000023,P,2026-06-29 19:55:26.116757
58,1,NSF,2025-10-31,2025-10-31 23:20:50,-17.72,-291.11,,,ACH,REF00000057,P,2026-06-29 19:55:26.116757
64,1,PMT,2025-11-03,2025-11-03 16:36:06,117.09,-174.02,,,WEB,REF00000063,P,2026-06-29 19:55:26.116757
41,1,PUR,2025-11-06,2025-11-06 04:10:38,-82.81,-256.83,"Monroe, Sullivan and King",GAS_STATION,MOB,REF00000040,P,2026-06-29 19:55:26.116757
47,1,DEP,2025-11-14,2025-11-14 02:23:25,85.14,-171.69,,,POS,REF00000046,P,2026-06-29 19:55:26.116757
76,1,PMT,2025-11-17,2025-11-17 06:36:22,130.18,-41.51,,,WEB,REF00000075,P,2026-06-29 19:55:26.116757
60,1,ACH,2025-11-23,2025-11-23 06:07:11,-238.06,-279.57,Thomas Ltd,RESTAURANT,POS,REF00000059,P,2026-06-29 19:55:26.116757
51,1,FEE,2025-11-26,2025-11-26 06:45:22,-38.63,-318.2,,,POS,REF00000050,P,2026-06-29 19:55:26.116757
55,1,PMT,2025-12-09,2025-12-09 02:50:07,58.69,-259.51,,,INTL,REF00000054,P,2026-06-29 19:55:26.116757
56,1,ODF,2025-12-20,2025-12-20 18:47:08,-44.98,-304.49,,,POS,REF00000055,P,2026-06-29 19:55:26.116757
85,1,XFR,2025-12-23,2025-12-23 08:32:30,120.59,-183.9,,,POS,REF00000084,P,2026-06-29 19:55:26.116757
29,1,PMT,2025-12-28,2025-12-28 19:08:19,53.32,-130.58,,,MOB,REF00000028,P,2026-06-29 19:55:26.116757
45,1,PUR,2025-12-29,2025-12-29 15:03:09,-111.51,-242.09,Martin Inc,UTILITIES,WEB,REF00000044,P,2026-06-29 19:55:26.116757
59,1,ACH,2026-01-02,2026-01-02 20:34:45,-352.13,-594.22,George LLC,UTILITIES,WEB,REF00000058,P,2026-06-29 19:55:26.116757
63,1,PUR,2026-01-06,2026-01-06 19:48:32,-77.26,-671.48,,,POS,REF00000062,P,2026-06-29 19:55:26.116757
21,1,PUR,2026-01-08,2026-01-08 21:37:22,-67.88,-739.36,"Nelson, Johnson and Robinson",RESTAURANT,ACH,REF00000020,P,2026-06-29 19:55:26.116757
5,1,XFR,2026-01-16,2026-01-16 10:11:14,56.58,-682.78,,,ACH,REF00000004,P,2026-06-29 19:55:26.116757
12,1,PMT,2026-01-17,2026-01-17 04:53:31,195.75,-487.03,,,POS,REF00000011,P,2026-06-29 19:55:26.116757
68,1,DEP,2026-01-18,2026-01-18 12:48:12,376.7,-110.33,,,MOB,REF00000067,P,2026-06-29 19:55:26.116757
38,1,PMT,2026-01-27,2026-01-27 03:09:50,80.69,-29.64,,,WEB,REF00000037,P,2026-06-29 19:55:26.116757
2,1,DEP,2026-01-29,2026-01-29 07:31:43,139.87,110.23,,,POS,REF00000001,P,2026-06-29 19:55:26.116757
25,1,PUR,2026-02-01,2026-02-01 03:13:10,-53.49,56.74,"Snyder, Miller and Stevens",RESTAURANT,ATM,REF00000024,P,2026-06-29 19:55:26.116757
79,1,PUR,2026-02-03,2026-02-03 04:19:52,-121.18,-64.44,"Flowers, Berry and Ramirez",UTILITIES,MOB,REF00000078,P,2026-06-29 19:55:26.116757
37,1,PUR,2026-02-03,2026-02-03 11:26:00,-92.8,-157.24,"Moon, Davis and Dominguez",RESTAURANT,POS,REF00000036,P,2026-06-29 19:55:26.116757
14,1,ACH,2026-02-03,2026-02-03 14:41:27,-92.44,-249.68,Wilson-Strong,RETAIL,POS,REF00000013,P,2026-06-29 19:55:26.116757
10,1,ACH,2026-02-05,2026-02-05 00:04:36,-182.03,-431.71,Solis PLC,PAWN_SHOP,WEB,REF00000009,P,2026-06-29 19:55:26.116757
23,1,PMT,2026-02-10,2026-02-10 23:32:41,140.28,-291.43,,,POS,REF00000022,P,2026-06-29 19:55:26.116757
17,1,PUR,2026-03-05,2026-03-05 16:17:33,-117.19,-408.62,Foley-Miranda,ENTERTAINMENT,MOB,REF00000016,P,2026-06-29 19:55:26.116757
72,1,PUR,2026-03-06,2026-03-06 04:53:42,-40.25,-448.87,Moyer-Sanchez,GROCERY,INTL,REF00000071,P,2026-06-29 19:55:26.116757
40,1,ACH,2026-03-14,2026-03-14 21:06:09,-114.05,-562.92,Fitzpatrick Group,CRYPTO_EXCHANGE,POS,REF00000039,P,2026-06-29 19:55:26.116757
48,1,WDR,2026-03-20,2026-03-20 00:23:01,-259.08,-822.0,"Stevens, Howell and Mitchell",EDUCATION,POS,REF00000047,P,2026-06-29 19:55:26.116757
11,1,PMT,2026-03-21,2026-03-21 14:12:31,170.35,-651.65,,,POS,REF00000010,P,2026-06-29 19:55:26.116757
62,1,PMT,2026-03-30,2026-03-30 22:26:47,72.72,-578.93,,,POS,REF00000061,P,2026-06-29 19:55:26.116757
16,1,DEP,2026-03-31,2026-03-31 13:50:47,187.33,-391.6,,,ATM,REF00000015,P,2026-06-29 19:55:26.116757
61,1,ACH,2026-04-09,2026-04-09 19:38:41,-119.58,-511.18,"Marquez, Jones and Garcia",TRAVEL,MOB,REF00000060,P,2026-06-29 19:55:26.116757
49,1,INT,2026-04-16,2026-04-16 18:30:34,68.11,-443.07,,,ATM,REF00000048,P,2026-06-29 19:55:26.116757
44,1,PUR,2026-04-21,2026-04-21 05:54:41,-119.3,-562.37,Sanchez Group,GAS_STATION,WEB,REF00000043,P,2026-06-29 19:55:26.116757
34,1,PMT,2026-04-21,2026-04-21 21:47:51,223.07,-339.3,,,ACH,REF00000033,P,2026-06-29 19:55:26.116757
15,1,PUR,2026-04-27,2026-04-27 22:37:22,-117.04,-456.34,Taylor-Williams,GAS_STATION,ACH,REF00000014,P,2026-06-29 19:55:26.116757
80,1,DEP,2026-04-28,2026-04-28 06:09:33,97.4,-358.94,,,WEB,REF00000079,P,2026-06-29 19:55:26.116757
69,1,ATM,2026-05-13,2026-05-13 17:41:11,-142.43,-501.37,"Silva, Farmer and Jackson",GAS_STATION,WEB,REF00000068,P,2026-06-29 19:55:26.116757
22,1,PMT,2026-05-14,2026-05-14 02:55:03,52.91,-448.46,,,POS,REF00000021,P,2026-06-29 19:55:26.116757
32,1,ODF,2026-05-15,2026-05-15 23:55:56,-28.62,-477.08,,,POS,REF00000031,H,2026-06-29 19:55:26.116757
30,1,ACH,2026-06-10,2026-06-10 09:06:32,-84.42,-561.5,"Stevens, Howell and Mitchell",RESTAURANT,POS,REF00000029,R,2026-06-29 19:55:26.116757
35,1,PUR,2026-06-13,2026-06-13 02:14:28,-156.29,-717.79,Hodges Inc,GAS_STATION,WEB,REF00000034,P,2026-06-29 19:55:26.116757
84,1,ODF,2026-06-17,2026-06-17 17:00:02,-38.12,-755.91,,,ACH,REF00000083,P,2026-06-29 19:55:26.116757
33,1,DEP,2026-06-18,2026-06-18 11:52:07,259.82,-496.09,,,MOB,REF00000032,P,2026-06-29 19:55:26.116757
7,1,DEP,2026-06-22,2026-06-22 06:11:53,60.22,-435.87,,,POS,REF00000006,P,2026-06-29 19:55:26.116757
28,1,PMT,2026-06-25,2026-06-25 18:30:24,129.02,-306.85,,,POS,REF00000027,P,2026-06-29 19:55:26.116757
9,1,PMT,2026-06-25,2026-06-25 21:39:09,154.57,-152.28,,,MOB,REF00000008,P,2026-06-29 19:55:26.116757
149,2,PUR,2025-05-01,2025-05-01 19:15:41,-255.7,6449.81,Gray Group,HEALTHCARE,ATM,REF00000148,P,2026-06-29 19:55:26.116757
88,2,WDR,2025-05-10,2025-05-10 00:15:17,-89.89,6359.92,Wilson-Strong,GAS_STATION,MOB,REF00000087,P,2026-06-29 19:55:26.116757
133,2,INT,2025-05-17,2025-05-17 23:01:35,8186.06,14545.98,,,ATM,REF00000132,P,2026-06-29 19:55:26.116757
115,2,WDR,2025-05-18,2025-05-18 07:03:00,-84.92,14461.06,"Nelson, Johnson and Robinson",INSURANCE,POS,REF00000114,P,2026-06-29 19:55:26.116757
139,2,ACH,2025-05-24,2025-05-24 17:53:38,-152.41,14308.65,"Reed, James and Henry",RESTAURANT,ATM,REF00000138,P,2026-06-29 19:55:26.116757
137,2,PUR,2025-05-31,2025-05-31 00:55:27,-140.11,14168.54,,,ATM,REF00000136,P,2026-06-29 19:55:26.116757
123,2,ATM,2025-06-06,2025-06-06 06:32:39,-336.89,13831.65,Smith-Romero,RESTAURANT,MOB,REF00000122,P,2026-06-29 19:55:26.116757
128,2,DEP,2025-06-07,2025-06-07 12:50:23,41.81,13873.46,,,WIRE,REF00000127,H,2026-06-29 19:55:26.116757
105,2,PMT,2025-06-12,2025-06-12 20:12:42,130.18,14003.64,,,POS,REF00000104,P,2026-06-29 19:55:26.116757
144,2,PMT,2025-06-19,2025-06-19 04:12:40,61.68,14065.32,,,ATM,REF00000143,P,2026-06-29 19:55:26.116757
87,2,PUR,2025-07-09,2025-07-09 23:27:05,-219.68,13845.64,Moyer-Sanchez,EDUCATION,WEB,REF00000086,P,2026-06-29 19:55:26.116757
93,2,ATM,2025-07-10,2025-07-10 05:01:02,-87.44,13758.2,Hudson-Butler,RETAIL,POS,REF00000092,P,2026-06-29 19:55:26.116757
151,2,INT,2025-07-20,2025-07-20 15:26:11,149.76,13907.96,,,POS,REF00000150,P,2026-06-29 19:55:26.116757
148,2,PUR,2025-07-22,2025-07-22 02:31:16,-69.52,13838.44,Taylor-Williams,RESTAURANT,WEB,REF00000147,P,2026-06-29 19:55:26.116757
114,2,PUR,2025-07-22,2025-07-22 05:23:24,-138.71,13699.73,Weeks-Martin,TRAVEL,POS,REF00000113,P,2026-06-29 19:55:26.116757
97,2,ATM,2025-07-24,2025-07-24 16:59:29,-44.05,13655.68,Stephenson Group,ENTERTAINMENT,POS,REF00000096,P,2026-06-29 19:55:26.116757
100,2,PUR,2025-07-26,2025-07-26 12:20:35,-158.53,13497.15,"Newman, George and Patrick",GROCERY,POS,REF00000099,P,2026-06-29 19:55:26.116757
122,2,PUR,2025-08-19,2025-08-19 04:09:55,-85.24,13411.91,Foley-Miranda,RETAIL,ATM,REF00000121,P,2026-06-29 19:55:26.116757
136,2,DEP,2025-09-15,2025-09-15 16:32:26,147.36,13559.27,,,MOB,REF00000135,P,2026-06-29 19:55:26.116757
146,2,PUR,2025-09-26,2025-09-26 09:26:38,-14.26,13545.01,Gallagher-Johnson,GAS_STATION,ATM,REF00000145,P,2026-06-29 19:55:26.116757
111,2,PUR,2025-09-27,2025-09-27 00:54:15,-63.41,13481.6,"Obrien, Williams and Mcgrath",GROCERY,MOB,REF00000110,P,2026-06-29 19:55:26.116757
126,2,DEP,2025-10-05,2025-10-05 14:18:59,27.52,13509.12,,,MOB,REF00000125,P,2026-06-29 19:55:26.116757
91,2,WDR,2025-10-17,2025-10-17 20:08:38,-6079.92,7429.2,"Obrien, Williams and Mcgrath",ENTERTAINMENT,POS,REF00000090,P,2026-06-29 19:55:26.116757
129,2,DEP,2025-10-27,2025-10-27 07:05:17,64.92,7494.12,,,POS,REF00000128,P,2026-06-29 19:55:26.116757
92,2,ATM,2025-11-07,2025-11-07 10:51:44,-86.44,7407.68,Foster-Williams,RETAIL,ATM,REF00000091,P,2026-06-29 19:55:26.116757
113,2,ATM,2025-12-01,2025-12-01 01:26:53,-182.25,7225.43,Edwards Group,RESTAURANT,POS,REF00000112,P,2026-06-29 19:55:26.116757
143,2,XFR,2025-12-02,2025-12-02 14:34:06,48.59,7274.02,,,ATM,REF00000142,P,2026-06-29 19:55:26.116757
95,2,DEP,2025-12-04,2025-12-04 17:10:45,146.92,7420.94,,,POS,REF00000094,P,2026-06-29 19:55:26.116757
90,2,NSF,2025-12-05,2025-12-05 17:56:15,-33.17,7387.77,,,WEB,REF00000089,P,2026-06-29 19:55:26.116757
135,2,DEP,2025-12-09,2025-12-09 15:03:19,69.24,7457.01,,,ACH,REF00000134,P,2026-06-29 19:55:26.116757
96,2,PUR,2025-12-15,2025-12-15 02:45:41,-37.76,7419.25,"Harding, Gomez and Jacobs",GAS_STATION,POS,REF00000095,P,2026-06-29 19:55:26.116757
120,2,DEP,2025-12-15,2025-12-15 06:13:59,79.21,7498.46,,,POS,REF00000119,H,2026-06-29 19:55:26.116757
121,2,WDR,2025-12-21,2025-12-21 21:22:29,-281.48,7216.98,Greene LLC,RETAIL,ATM,REF00000120,P,2026-06-29 19:55:26.116757
138,2,ATM,2025-12-23,2025-12-23 08:16:08,-83.0,7133.98,"Obrien, Williams and Mcgrath",GAS_STATION,WEB,REF00000137,R,2026-06-29 19:55:26.116757
118,2,ACH,2025-12-29,2025-12-29 06:39:49,-303.6,6830.38,,,MOB,REF00000117,P,2026-06-29 19:55:26.116757
89,2,WDR,2025-12-29,2025-12-29 21:00:02,-57.6,6772.78,Bennett-Brooks,EDUCATION,ATM,REF00000088,R,2026-06-29 19:55:26.116757
152,2,DEP,2025-12-30,2025-12-30 04:05:15,821.61,7594.39,,,MOB,REF00000151,P,2026-06-29 19:55:26.116757
142,2,NSF,2025-12-30,2025-12-30 13:00:30,-14.15,7580.24,,,WEB,REF00000141,P,2026-06-29 19:55:26.116757
107,2,ODF,2026-01-10,2026-01-10 18:31:17,-34.19,7546.05,,,ACH,REF00000106,P,2026-06-29 19:55:26.116757
131,2,NSF,2026-01-11,2026-01-11 06:10:50,-29.83,7516.22,,,POS,REF00000130,P,2026-06-29 19:55:26.116757
132,2,PMT,2026-01-15,2026-01-15 23:28:06,123.07,7639.29,,,ATM,REF00000131,P,2026-06-29 19:55:26.116757
140,2,PUR,2026-01-26,2026-01-26 11:53:08,-233.6,7405.69,Hernandez-Beasley,GROCERY,ATM,REF00000139,P,2026-06-29 19:55:26.116757
110,2,DEP,2026-01-28,2026-01-28 18:57:06,96.23,7501.92,,,WEB,REF00000109,P,2026-06-29 19:55:26.116757
125,2,WDR,2026-02-01,2026-02-01 05:51:59,-129.69,7372.23,"Reid, Thomas and Gill",GROCERY,POS,REF00000124,P,2026-06-29 19:55:26.116757
116,2,XFR,2026-02-11,2026-02-11 05:19:33,185.79,7558.02,,,ACH,REF00000115,H,2026-06-29 19:55:26.116757
99,2,ATM,2026-02-12,2026-02-12 16:37:01,-34.45,7523.57,,,ATM,REF00000098,P,2026-06-29 19:55:26.116757
147,2,PUR,2026-02-17,2026-02-17 07:33:50,-71.07,7452.5,"Harding, Gomez and Jacobs",RETAIL,POS,REF00000146,P,2026-06-29 19:55:26.116757
98,2,PMT,2026-02-25,2026-02-25 06:31:10,56.43,7508.93,,,ATM,REF00000097,P,2026-06-29 19:55:26.116757
130,2,DEP,2026-03-09,2026-03-09 21:50:53,68.78,7577.71,,,POS,REF00000129,P,2026-06-29 19:55:26.116757
117,2,PMT,2026-03-12,2026-03-12 14:43:47,101.0,7678.71,,,WEB,REF00000116,P,2026-06-29 19:55:26.116757
145,2,WDR,2026-04-16,2026-04-16 15:43:03,-12.52,7666.19,Smith and Sons,RESTAURANT,INTL,REF00000144,P,2026-06-29 19:55:26.116757
108,2,DEP,2026-04-17,2026-04-17 01:17:07,98.89,7765.08,,,MOB,REF00000107,P,2026-06-29 19:55:26.116757
102,2,PMT,2026-04-23,2026-04-23 23:04:15,102.58,7867.66,,,WEB,REF00000101,P,2026-06-29 19:55:26.116757
103,2,PUR,2026-04-30,2026-04-30 03:23:12,-52.63,7815.03,George LLC,TRAVEL,POS,REF00000102,P,2026-06-29 19:55:26.116757
109,2,DEP,2026-04-30,2026-04-30 15:42:21,53.36,7868.39,,,MOB,REF00000108,P,2026-06-29 19:55:26.116757
150,2,PUR,2026-05-02,2026-05-02 08:38:05,-116.35,7752.04,Guerrero-Gonzales,GROCERY,ATM,REF00000149,P,2026-06-29 19:55:26.116757
141,2,PUR,2026-05-06,2026-05-06 22:53:04,-14.81,7737.23,"Newman, George and Patrick",ENTERTAINMENT,WEB,REF00000140,P,2026-06-29 19:55:26.116757
124,2,DEP,2026-05-10,2026-05-10 01:23:41,291.22,8028.45,,,WEB,REF00000123,P,2026-06-29 19:55:26.116757
127,2,PUR,2026-05-11,2026-05-11 10:55:50,-122.75,7905.7,Smith-Romero,RESTAURANT,POS,REF00000126,P,2026-06-29 19:55:26.116757
112,2,PUR,2026-05-13,2026-05-13 15:57:13,-12101.24,-4195.54,Young and Sons,EDUCATION,WEB,REF00000111,P,2026-06-29 19:55:26.116757
104,2,DEP,2026-06-01,2026-06-01 20:35:02,79.65,-4115.89,,,POS,REF00000103,P,2026-06-29 19:55:26.116757
119,2,PMT,2026-06-02,2026-06-02 06:48:39,198.29,-3917.6,,,POS,REF00000118,P,2026-06-29 19:55:26.116757
101,2,DEP,2026-06-05,2026-06-05 01:15:29,67.74,-3849.86,,,ATM,REF00000100,P,2026-06-29 19:55:26.116757
106,2,ATM,2026-06-11,2026-06-11 09:28:07,-134.62,-3984.48,Wright-Roberts,GAS_STATION,WEB,REF00000105,P,2026-06-29 19:55:26.116757
134,2,FEE,2026-06-16,2026-06-16 18:33:18,-23.98,-4008.46,,,WEB,REF00000133,P,2026-06-29 19:55:26.116757
94,2,ACH,2026-06-27,2026-06-27 04:43:19,-100.29,-4108.75,Prince Inc,RESTAURANT,ATM,REF00000093,P,2026-06-29 19:55:26.116757
176,3,WDR,2025-05-02,2025-05-02 15:06:23,-91.6,10525.33,"Arnold, Williams and Jarvis",RETAIL,POS,REF00000175,P,2026-06-29 19:55:26.116757
185,3,INT,2025-05-17,2025-05-17 22:05:26,150.02,10675.35,,,POS,REF00000184,P,2026-06-29 19:55:26.116757
177,3,PMT,2025-05-29,2025-05-29 00:49:54,71.39,10746.74,,,POS,REF00000176,P,2026-06-29 19:55:26.116757
163,3,PMT,2025-06-16,2025-06-16 01:07:22,184.78,10931.52,,,WEB,REF00000162,P,2026-06-29 19:55:26.116757
159,3,ACH,2025-06-23,2025-06-23 13:03:34,-227.14,10704.38,Mooney-Clark,GROCERY,MOB,REF00000158,P,2026-06-29 19:55:26.116757
170,3,ODF,2025-07-10,2025-07-10 23:51:26,-17.57,10686.81,,,MOB,REF00000169,P,2026-06-29 19:55:26.116757
167,3,ODF,2025-07-12,2025-07-12 14:05:33,-30.98,10655.83,,,POS,REF00000166,P,2026-06-29 19:55:26.116757
160,3,PMT,2025-07-22,2025-07-22 01:07:58,405.67,11061.5,,,INTL,REF00000159,P,2026-06-29 19:55:26.116757
165,3,PUR,2025-07-30,2025-07-30 03:59:49,-54.85,11006.65,Perez-Richardson,RESTAURANT,ATM,REF00000164,P,2026-06-29 19:55:26.116757
184,3,PMT,2025-08-08,2025-08-08 23:12:44,118.97,11125.62,,,MOB,REF00000183,P,2026-06-29 19:55:26.116757
188,3,PUR,2025-08-09,2025-08-09 01:58:50,-53.34,11072.28,"Hodges, Cummings and Hernandez",INSURANCE,POS,REF00000187,P,2026-06-29 19:55:26.116757
153,3,PMT,2025-08-24,2025-08-24 08:33:11,73.46,11145.74,,,POS,REF00000152,P,2026-06-29 19:55:26.116757
180,3,ATM,2025-09-12,2025-09-12 13:08:11,-89.37,11056.37,Mcclain and Sons,GAS_STATION,MOB,REF00000179,P,2026-06-29 19:55:26.116757
175,3,PMT,2025-09-15,2025-09-15 19:20:39,46.73,11103.1,,,WEB,REF00000174,P,2026-06-29 19:55:26.116757
169,3,PMT,2025-09-16,2025-09-16 05:10:24,78.73,11181.83,,,MOB,REF00000168,P,2026-06-29 19:55:26.116757
183,3,PUR,2025-09-18,2025-09-18 13:08:35,-55.97,11125.86,Foley-Miranda,RETAIL,ATM,REF00000182,P,2026-06-29 19:55:26.116757
158,3,PUR,2025-09-20,2025-09-20 20:21:30,-63.05,11062.81,Reeves and Sons,TRAVEL,WEB,REF00000157,P,2026-06-29 19:55:26.116757
187,3,PUR,2025-09-25,2025-09-25 23:53:25,-68.6,10994.21,Cole PLC,GROCERY,POS,REF00000186,P,2026-06-29 19:55:26.116757
171,3,PMT,2025-09-30,2025-09-30 07:24:41,232.89,11227.1,,,WEB,REF00000170,P,2026-06-29 19:55:26.116757
156,3,PMT,2025-10-12,2025-10-12 17:53:47,87.53,11314.63,,,WEB,REF00000155,P,2026-06-29 19:55:26.116757
162,3,PUR,2025-10-17,2025-10-17 14:01:59,-103.5,11211.13,"Jones, Wiggins and Oliver",GAS_STATION,MOB,REF00000161,P,2026-06-29 19:55:26.116757
178,3,PUR,2025-10-22,2025-10-22 19:14:40,-15.17,11195.96,Thomas-Jones,HEALTHCARE,POS,REF00000177,P,2026-06-29 19:55:26.116757
168,3,PMT,2025-10-28,2025-10-28 09:39:14,49.31,11245.27,,,POS,REF00000167,P,2026-06-29 19:55:26.116757
189,3,PMT,2025-11-23,2025-11-23 01:53:48,79.53,11324.8,,,WEB,REF00000188,P,2026-06-29 19:55:26.116757
179,3,FEE,2025-11-30,2025-11-30 13:07:14,-38.91,11285.89,,,ATM,REF00000178,P,2026-06-29 19:55:26.116757
164,3,XFR,2025-12-06,2025-12-06 13:37:32,124.66,11410.55,,,POS,REF00000163,P,2026-06-29 19:55:26.116757
182,3,DEP,2025-12-11,2025-12-11 02:02:51,352.41,11762.96,,,POS,REF00000181,P,2026-06-29 19:55:26.116757
174,3,PMT,2025-12-22,2025-12-22 02:04:53,122.86,11885.82,,,POS,REF00000173,P,2026-06-29 19:55:26.116757
181,3,PUR,2026-02-17,2026-02-17 01:33:14,-199.31,11686.51,Mcclain and Sons,UTILITIES,POS,REF00000180,P,2026-06-29 19:55:26.116757
173,3,PMT,2026-03-12,2026-03-12 06:51:44,38.68,11725.19,,,POS,REF00000172,P,2026-06-29 19:55:26.116757
157,3,PUR,2026-03-13,2026-03-13 17:14:07,-462.11,11263.08,Young and Sons,GROCERY,ATM,REF00000156,P,2026-06-29 19:55:26.116757
161,3,PMT,2026-03-18,2026-03-18 21:46:29,348.53,11611.61,,,ATM,REF00000160,P,2026-06-29 19:55:26.116757
155,3,PMT,2026-03-24,2026-03-24 09:01:07,83.78,11695.39,,,WEB,REF00000154,P,2026-06-29 19:55:26.116757
186,3,PMT,2026-03-27,2026-03-27 04:37:06,439.02,12134.41,,,MOB,REF00000185,P,2026-06-29 19:55:26.116757
190,3,FEE,2026-04-02,2026-04-02 15:58:34,-16.47,12117.94,,,ATM,REF00000189,P,2026-06-29 19:55:26.116757
