account_id,customer_id,account_type,account_status,open_date,close_date,current_balance,available_balance,credit_limit,interest_rate,branch_id,created_ts,updated_ts
105,40,LOAN,O,2020-07-08,,17461.38,0.0,,0.0753,483,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
106,40,CHECKING,O,2018-12-09,,77819.31,70037.38,,0.0751,148,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
107,40,CREDIT,O,2021-11-08,,3451.2,1548.8,5000.0,0.1227,246,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
108,41,CREDIT,O,2022-06-09,,16915.56,8084.44,25000.0,0.0955,203,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
109,41,SAVINGS,O,2021-11-02,,65379.39,58841.45,,0.2386,412,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
110,41,CHECKING,O,2020-04-01,,11291.33,10162.2,,0.0115,490,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
111,42,CREDIT,O,2020-04-21,,9839.58,5160.42,15000.0,0.187,110,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
112,43,CREDIT,O,2014-07-27,,1372.73,8627.27,10000.0,0.1542,301,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
113,43,LOAN,O,2021-01-24,,15117.64,0.0,,0.0136,464,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
114,44,SAVINGS,O,2014-08-19,,7565.94,6809.35,,0.0832,242,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
115,44,CHECKING,O,2020-10-19,,7593.86,6834.47,,0.1928,3,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
116,45,LOAN,C,2017-10-06,2026-04-18,56166.89,0.0,,0.2196,245,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
117,45,CREDIT,O,2014-09-11,,3779.56,1220.44,5000.0,0.0725,147,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
118,46,CHECKING,O,2024-03-07,,52010.05,46809.05,,0.0588,379,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
119,47,SAVINGS,O,2022-07-11,,33139.74,29825.77,,0.2095,479,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
120,48,LOAN,O,2024-02-06,,47489.68,0.0,,0.0474,384,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
121,49,CHECKING,O,2025-05-02,,45220.93,40698.84,,0.0277,172,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
122,49,LOAN,O,2015-10-07,,17789.14,0.0,,0.2472,279,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
123,49,SAVINGS,O,2015-08-22,,41707.64,37536.88,,0.2223,69,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
124,50,CREDIT,O,2016-04-07,,3655.6,1344.4,5000.0,0.1624,368,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
125,50,CHECKING,O,2016-10-11,,14489.03,13040.13,,0.1843,405,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
126,50,LOAN,O,2020-10-06,,18406.43,0.0,,0.1689,99,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
127,50,SAVINGS,O,2024-03-16,,13627.34,12264.61,,0.2141,460,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
128,51,LOAN,O,2017-09-04,,24649.16,0.0,,0.0247,72,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
129,51,CREDIT,O,2019-03-22,,4854.03,10145.97,15000.0,0.0627,134,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
130,51,SAVINGS,O,2018-12-08,,30377.74,27339.97,,0.1122,137,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
131,51,CHECKING,O,2019-05-01,,76299.8,68669.82,,0.0762,371,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
132,52,CREDIT,O,2021-03-23,,6927.69,3072.31,10000.0,0.0165,61,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
133,53,CREDIT,O,2026-04-17,,1277.42,722.58,2000.0,0.2351,189,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
134,53,CHECKING,O,2017-03-08,,48977.35,44079.61,,0.0555,69,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
135,53,SAVINGS,O,2022-08-23,,37993.64,34194.28,,0.1142,311,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
136,53,LOAN,O,2024-08-05,,23043.87,0.0,,0.1757,468,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
137,54,SAVINGS,O,2022-04-13,,42017.94,37816.15,,0.091,470,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
138,54,CHECKING,O,2024-09-19,,44915.58,40424.02,,0.0164,281,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
139,54,CREDIT,O,2023-07-18,,5053.92,19946.08,25000.0,0.1346,85,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
140,54,LOAN,O,2015-08-10,,20358.94,0.0,,0.1305,60,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
141,55,LOAN,O,2019-01-04,,54034.47,0.0,,0.1119,29,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
142,55,CHECKING,O,2021-01-28,,36001.3,32401.17,,0.1287,234,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
143,56,LOAN,O,2015-02-28,,40693.3,0.0,,0.0777,12,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
144,57,CREDIT,O,2014-08-09,,847.39,1152.61,2000.0,0.1753,278,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
145,57,CHECKING,O,2016-07-14,,79526.95,71574.26,,0.2336,36,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
146,57,LOAN,O,2020-06-12,,59182.1,0.0,,0.1185,147,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
147,57,SAVINGS,O,2019-08-30,,32413.79,29172.41,,0.1924,393,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
148,58,CREDIT,O,2023-11-03,,1203.75,13796.25,15000.0,0.241,448,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
149,58,SAVINGS,O,2021-03-27,,42913.67,38622.3,,0.1637,179,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
150,58,LOAN,O,2024-09-18,,7999.36,0.0,,0.2481,202,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
151,58,CHECKING,O,2015-08-18,,42071.82,37864.64,,0.1822,115,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
152,59,CHECKING,O,2020-10-14,,78268.5,70441.65,,0.1162,369,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
153,60,LOAN,O,2014-12-31,,21423.42,0.0,,0.0696,480,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
154,60,CHECKING,O,2017-01-04,,69954.26,62958.83,,0.1915,17,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
155,60,CREDIT,O,2024-11-01,,9223.85,5776.15,15000.0,0.234,456,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
156,60,SAVINGS,O,2025-01-25,,759.49,683.54,,0.0523,52,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
157,61,LOAN,O,2020-02-27,,36269.31,0.0,,0.176,25,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
158,62,CHECKING,O,2015-01-17,,34836.51,31352.86,,0.1353,387,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
159,62,SAVINGS,O,2015-05-18,,69030.28,62127.25,,0.015,258,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
160,63,SAVINGS,O,2025-07-10,,45986.72,41388.05,,0.1933,420,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
161,63,CREDIT,O,2025-03-17,,2369.04,7630.96,10000.0,0.2191,339,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
162,63,LOAN,F,2021-03-16,,31753.81,0.0,,0.1039,141,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
163,64,SAVINGS,O,2014-11-19,,49892.45,44903.21,,0.1073,254,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
164,65,CREDIT,O,2025-07-23,,11787.07,3212.93,15000.0,0.0803,214,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
165,66,SAVINGS,O,2018-03-28,,60230.5,54207.45,,0.1189,435,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
166,66,LOAN,O,2025-12-13,,14295.33,0.0,,0.2144,74,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
167,66,CREDIT,O,2021-06-27,,13721.12,1278.88,15000.0,0.141,496,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
168,66,CHECKING,O,2023-06-16,,33028.88,29725.99,,0.1329,199,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
169,67,CREDIT,O,2022-12-26,,6467.06,3532.94,10000.0,0.2305,434,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
170,67,CHECKING,O,2019-03-28,,29371.74,26434.57,,0.1343,425,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
171,68,CHECKING,O,2015-05-29,,29862.02,26875.82,,0.1516,21,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
172,68,SAVINGS,O,2016-06-05,,69826.45,62843.81,,0.0478,390,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
173,69,LOAN,O,2017-05-10,,52298.96,0.0,,0.0839,490,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
174,69,CHECKING,O,2024-06-09,,72674.03,65406.63,,0.0537,98,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
175,70,LOAN,O,2019-02-16,,54952.04,0.0,,0.1741,361,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
176,71,LOAN,F,2025-03-05,,33572.68,0.0,,0.194,195,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
177,71,CHECKING,O,2018-06-12,,37033.16,33329.84,,0.1625,158,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
178,72,CREDIT,O,2023-07-01,,1479.12,13520.88,15000.0,0.2453,241,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
179,72,LOAN,C,2016-02-28,2026-05-16,45936.11,0.0,,0.0807,105,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
180,72,SAVINGS,O,2023-02-14,,29341.75,26407.58,,0.104,289,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
181,73,SAVINGS,O,2020-06-16,,20492.32,18443.09,,0.2337,297,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
182,73,CHECKING,O,2026-02-07,,57460.96,51714.86,,0.0745,101,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
183,74,SAVINGS,O,2015-02-17,,39693.77,35724.39,,0.1639,351,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
184,74,LOAN,O,2019-09-13,,20916.29,0.0,,0.191,251,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
185,74,CHECKING,C,2024-06-26,2025-03-02,77303.92,69573.53,,0.1607,252,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
186,75,SAVINGS,O,2023-08-28,,10766.66,9689.99,,0.137,95,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
187,75,CREDIT,O,2025-11-14,,24758.09,241.91,25000.0,0.2393,269,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
188,75,LOAN,O,2019-03-21,,2995.6,0.0,,0.2117,484,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
189,75,CHECKING,O,2023-09-17,,65348.67,58813.8,,0.0131,4,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
190,76,SAVINGS,O,2014-11-04,,56427.15,50784.44,,0.0033,259,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
191,76,CREDIT,O,2017-09-30,,5598.01,9401.99,15000.0,0.1548,342,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
192,76,CHECKING,O,2026-04-27,,74679.25,67211.32,,0.2282,338,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
193,76,LOAN,O,2020-05-03,,29783.41,0.0,,0.0026,283,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
194,77,CHECKING,O,2018-09-24,,879.98,791.98,,0.2034,346,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
195,77,LOAN,O,2025-09-15,,26403.82,0.0,,0.2349,92,2026-06-29 19:55:26.116757,2026-06-29 19:55:26.116757
